Date,Month,WeekNum,WeekDay,Quarter,Year,Lines,Shifts,LinesInShift1,LinesInShift2,LinesInShift3,Operating Hours,Elapsed Hrs,PlanVol,PlanVolS,PlanVolM,PlanVolL,PlanRev,PlanLabCost,PlanMatCost,PlanEnerCost,PlanFixCost,PlanTotalCost,PlanCostPerUnit,PlanRevPerUnit,PlanOP,PlanOPMargin,ActVol,ActVolS,ActVolM,ActVolL,ActRev,ActLabCost,ActMatCost,ActEnerCost,ActFixCost,ActTotalCost,ActCostperUnit,ActRevPerUnit,ActOP,ActOPMargin,ActOPPer-Unit,OPVariance,VolVariance,Efficiency%,EfficiencyActS,EfficiencyActM,EfficiencyActL,
01-01-2022,1,1,7,1,2022,6,2,4,2,0,48,16,1440,720,432,288,36472,10296,13265,2200,500,26261,18.23680556,25.32777778,10211,27.99681948,1438,648,403,387,39233,10450.44,15564,2149.4,510.5,28674.34,19.94043115,27.28303199,10558.66,26.91270104,7.342600834,347.66,2,99.86111111,45.06258693,28.02503477,26.9123783,
02-01-2022,1,2,1,1,2022,6,2,4,2,0,48,16,1440,720,432,288,36472,10296,13265,2200,500,26261,18.23680556,25.32777778,10211,27.99681948,1439,763,389,287,37669,10368.07,13543,2180.2,494.5,26585.77,18.47517026,26.17720639,11083.23,29.42268178,7.702036136,872.23,1,99.93055556,53.02293259,27.03266157,19.94440584,
03-01-2022,1,2,2,1,2022,6,2,4,2,0,48,16,1440,720,432,288,36472,6864,13265,2200,500,22829,15.85347222,25.32777778,13643,37.4067778,1392,696,474,222,32494,6843.41,11547,2151.6,505.5,21047.51,15.12033764,23.3433908,11446.49,35.22647258,8.223053161,-2196.51,48,96.66666667,50,34.05172414,15.94827586,
04-01-2022,1,2,3,1,2022,6,2,4,2,0,48,16,1440,720,432,288,36472,6864,13265,2200,500,22829,15.85347222,25.32777778,13643,37.4067778,1427,700,471,256,34311,6706.13,12727,2211,495,22139.13,15.5144569,24.04414856,12171.87,35.4751246,8.529691661,-1471.13,13,99.09722222,49.05395936,33.00630694,17.93973371,
05-01-2022,1,2,4,1,2022,6,2,4,2,0,48,16,1440,720,432,288,36472,6864,13265,2200,500,22829,15.85347222,25.32777778,13643,37.4067778,1371,617,426,328,35376,6596.3,13769,2145,513.5,23023.8,16.79343545,25.80306346,12352.2,34.91689281,9.009628009,-1290.8,69,95.20833333,45.00364697,31.07221007,23.92414296,
06-01-2022,1,2,5,1,2022,6,2,4,2,0,48,16,1440,720,432,288,36472,6864,13265,2200,500,22829,15.85347222,25.32777778,13643,37.4067778,1419,738,455,226,33935,7131.7,11234,2259.4,489,21114.1,14.87956307,23.91472868,12820.9,37.78075733,9.03516561,-822.1,21,98.54166667,52.00845666,32.06483439,15.92670895,
07-01-2022,1,2,6,1,2022,6,2,4,2,0,48,16,1440,720,432,288,36472,6864,13265,2200,500,22829,15.85347222,25.32777778,13643,37.4067778,1406,703,408,295,36288,6740.45,13740,2202.2,512.5,23195.15,16.49726174,25.80938834,13092.85,36.0803847,9.3121266,-550.15,34,97.63888889,50,29.01849218,20.98150782,
08-01-2022,1,2,7,1,2022,6,2,4,2,0,48,16,1440,720,432,288,36472,10296,13265,2200,500,26261,18.23680556,25.32777778,10211,27.99681948,1424,670,470,284,34810,10007.71,12311,2239.6,496,25054.31,17.59431882,24.44522472,9755.69,28.02553864,6.850905899,-455.31,16,98.88888889,47.0505618,33.00561798,19.94382022,
09-01-2022,1,3,1,1,2022,6,2,4,2,0,48,16,1440,720,432,288,36472,10296,13265,2200,500,26261,18.23680556,25.32777778,10211,27.99681948,1409,691,437,281,35257,9812.09,12440,2213.2,508.5,24973.79,17.72447835,25.02271114,10283.21,29.16643503,7.298232789,72.21,31,97.84722222,49.04187367,31.01490419,19.94322214,
10-01-2022,1,3,2,1,2022,6,2,4,2,0,48,16,1440,720,432,288,36472,6864,13265,2200,500,22829,15.85347222,25.32777778,13643,37.4067778,1388,708,361,319,37591,7049.33,13666,2169.2,494.5,23379.03,16.84368156,27.08285303,14211.97,37.80684206,10.23917147,568.97,52,96.38888889,51.00864553,26.00864553,22.98270893,
11-01-2022,1,3,3,1,2022,6,2,4,2,0,48,16,1440,720,432,288,36472,6864,13265,2200,500,22829,15.85347222,25.32777778,13643,37.4067778,1376,647,441,288,34291,6788.5,12933,2235.2,488.5,22445.2,16.3119186,24.92078488,11845.8,34.54492432,8.608866279,-1797.2,64,95.55555556,47.02034884,32.0494186,20.93023256,
12-01-2022,1,3,4,1,2022,6,2,4,2,0,48,16,1440,720,432,288,36472,6864,13265,2200,500,22829,15.85347222,25.32777778,13643,37.4067778,1428,729,486,213,33046,6864,11661,2202.2,485.5,21212.7,14.85483193,23.14145658,11833.3,35.80856987,8.28662465,-1809.7,12,99.16666667,51.05042017,34.03361345,14.91596639,
